Date;Open;High;Low;Close;Volume;Return;MA7;MA21;MA50;MA200;Volatility30;Momentum7;Cluster_3;Regime;Direction_Pred;Prob_Up;Signal;Pred_1d;Pred_30d;Pred_365d;Pred_7d;Pred_90d;PC1;PC2
2019-12-14;7268.9;7308.84;7097.21;7124.67;17137029730;-0.019947;7299.754883;7366.969145;8201.225889;9390.439436;0.022807;-0.058183;0.0;Bull;1;0.562;📈 Up;7089.47;7199.08;618.6;6989.7;9569.21;-0.44;-1.09
2019-12-15;7124.24;7181.08;6924.38;7152.3;16881129804;0.003878;7240.891532;7371.939848;8159.372471;9382.903508;0.02261;-0.055378;0.0;Bull;1;0.544;📈 Up;7114.21;7258.81;619.6;7003.54;9590.76;-0.512;-0.588
2019-12-16;7153.66;7171.17;6903.68;6932.48;20213265950;-0.030734;7173.97454;7361.765881;8106.987783;9375.968547;0.022942;-0.064505;0.0;Bull;1;0.569;📈 Up;6890.74;7208.49;618.6;6844.28;10016.07;-0.402;-1.356
2019-12-17;6931.32;6964.08;6587.97;6640.52;22363804217;-0.042116;7082.888184;7334.24893;8054.675117;9366.298613;0.023745;-0.090031;0.0;Bull;1;0.574;📈 Up;6589.59;7062.2;618.6;6554.86;10090.62;-0.342;-1.777
2019-12-18;6647.7;7324.98;6540.05;7276.8;31836522778;0.095819;7091.370396;7322.1127;8011.657422;9359.862544;0.030002;0.014127;0.0;Bull;0;0.465;📉 Down;7406.65;8824.6;619.76;7515.81;13517.87;-1.03;1.752
2019-12-19;7277.59;7346.6;7041.38;7202.84;25904604416;-0.010164;7085.614676;7309.719285;7971.599775;9352.161975;0.029983;0.000402;0.0;Bull;1;0.548;📈 Up;7194.15;8106.72;618.6;7327.79;11896.5;-0.697;-0.49
2019-12-20;7208.64;7257.92;7086.12;7218.82;22633815180;0.002217;7078.347796;7283.889416;7931.984404;9347.211082;0.029809;-0.001047;0.0;Bull;1;0.541;📈 Up;7216.58;7938.22;618.44;7311.93;11207.57;-0.729;-0.251
2019-12-21;7220.59;7223.23;7112.74;7191.16;19312552168;-0.003831;7087.845633;7265.866978;7890.585488;9344.62802;0.028586;0.015069;0.0;Bull;1;0.549;📈 Up;7178.4;7690.29;618.58;7263.07;10572.49;-0.717;-0.249
2019-12-22;7191.19;7518.03;7167.18;7511.59;23134537956;0.044559;7139.172363;7270.023949;7854.32291;9343.064807;0.028562;0.055751;0.0;Bull;1;0.512;📈 Up;7568.87;8435.98;625.48;7699.65;12026.61;-0.927;1.028
2019-12-23;7508.9;7656.18;7326.19;7355.63;27831788041;-0.020763;7199.62207;7271.62586;7816.728389;9340.732832;0.028738;0.065722;0.0;Bull;1;0.56;📈 Up;7378.21;8439.8;625.39;7615.07;12813.6;-0.756;-0.219
2019-12-24;7354.39;7535.72;7269.53;7322.53;22991622105;-0.004499;7297.053083;7271.739514;7774.926787;9337.125737;0.027326;0.103338;0.0;Bull;1;0.554;📈 Up;7355.82;8127.06;625.39;7568.95;11964.01;-0.842;0.392
2019-12-25;7325.76;7357.02;7220.99;7275.16;21559505149;-0.00647;7296.817801;7272.840518;7733.579355;9333.730876;0.027263;0.001049;0.0;Bull;1;0.55;📈 Up;7271.07;7948.0;618.6;7352.63;10999.89;-0.667;-0.401
2019-12-26;7274.8;7388.3;7200.39;7238.97;22787010034;-0.004974;7301.978167;7262.871908;7691.141094;9331.485325;0.027227;0.006239;0.0;Bull;1;0.549;📈 Up;7254.21;8027.69;618.6;7356.83;11279.79;-0.68;-0.333
2019-12-27;7238.14;7363.53;7189.93;7290.09;22777360996;0.007062;7312.159877;7250.638184;7651.591631;9327.934119;0.026032;0.011083;0.0;Bull;1;0.54;📈 Up;7308.22;8068.88;619.64;7398.7;11343.4;-0.703;-0.05
