Date,Open,High,Low,Close,Volume,Return,MA7,MA21,MA50,MA200,Volatility30,Momentum7
2020-12-13,18806.77,19381.54,18734.33,19142.38,25450468637,0.018,18619.52,18617.56,16763.11,12069.88,0.034,-0.0082
2020-12-14,19144.49,19305.1,19012.71,19246.64,22473997681,0.0054,18627.38,18659.58,16887.42,12118.49,0.0338,0.0052
2020-12-15,19246.92,19525.01,19079.84,19417.08,26741982541,0.0089,18783.94,18674.33,17014.25,12168.38,0.0337,0.0594
2020-12-16,19418.82,21458.91,19298.32,21310.6,44409011479,0.0975,19177.75,18797.11,17167.38,12226.43,0.0369,0.1442
2020-12-17,21308.35,23642.66,21234.68,22805.16,71378606374,0.0701,19826.35,19066.37,17358.06,12293.15,0.0376,0.2299
2020-12-18,22806.8,23238.6,22399.81,23137.96,40387896275,0.0146,20551.93,19353.5,17552.06,12358.0,0.0376,0.2558
2020-12-19,23132.87,24085.86,22826.47,23869.83,38487546580,0.0316,21275.67,19646.47,17758.52,12429.7,0.0378,0.2462
2020-12-20,23861.77,24209.66,23147.71,23477.29,37844228422,-0.0164,21894.94,19898.84,17952.45,12498.81,0.0375,0.2117
2020-12-21,23474.46,24059.98,22159.37,22803.08,45852713981,-0.0287,22403.0,20050.14,18133.77,12563.82,0.0381,0.1776
2020-12-22,22794.04,23789.9,22430.61,23783.03,44171632681,0.043,23026.71,20287.28,18338.42,12634.41,0.0384,0.2117
2020-12-23,23781.97,24024.49,22802.65,23241.35,51146161904,-0.0228,23302.53,20479.67,18524.24,12702.34,0.0388,0.0914
2020-12-24,23240.2,23768.34,22777.6,23735.95,41080759713,0.0213,23435.5,20683.99,18716.29,12772.23,0.0384,0.0425
2020-12-25,23733.57,24710.1,23463.67,24664.79,42068395846,0.0391,23653.62,20968.04,18897.99,12846.7,0.0384,0.0671
2020-12-26,24677.02,26718.07,24522.69,26437.04,48332647295,0.0719,24020.36,21314.84,19115.41,12929.9,0.0357,0.1073
2020-12-27,26439.37,28288.84,25922.77,26272.29,66479895605,-0.0062,24419.65,21644.7,19344.18,13011.91,0.0358,0.1175
2020-12-28,26280.82,27389.11,26207.64,27084.81,49056742893,0.0309,25031.32,22020.57,19576.28,13100.73,0.0357,0.1772
2020-12-29,27081.81,27370.72,25987.3,27362.44,45265946774,0.0103,25542.67,22451.1,19816.89,13190.14,0.0356,0.1444
2020-12-30,27360.09,28937.74,27360.09,28840.95,51287442704,0.054,26342.61,22940.96,20087.89,13286.97,0.0343,0.2212
2020-12-31,28841.57,29244.88,28201.99,29001.72,46754964848,0.0056,27094.86,23452.24,20353.9,13385.04,0.0327,0.2055
2021-01-01,28994.01,29600.63,28803.59,29374.15,40730301359,0.0128,27767.63,23991.06,20615.85,13484.66,0.0327,0.1792
2021-01-02,29376.46,33155.12,29091.18,32127.27,67865420765,0.0937,28580.52,24625.52,20932.04,13597.6,0.0357,0.2011
2021-01-03,32129.41,34608.56,32052.32,32782.02,78665235202,0.0204,29510.48,25275.02,21266.32,13714.11,0.0341,0.2277
2021-01-04,32810.95,33440.22,28722.76,31971.91,81163475344,-0.0247,30208.64,25880.99,21586.64,13826.91,0.0351,0.1721
2021-01-05,31977.04,34437.59,30221.19,33992.43,67547324782,0.0632,31155.78,26575.05,21932.17,13950.44,0.036,0.225
2021-01-06,34013.61,36879.7,33514.04,36824.36,75289433811,0.0833,32296.27,27313.8,22315.75,14087.9,0.0374,0.2543
2021-01-07,36833.88,40180.37,36491.19,39371.04,84762141031,0.0692,33777.6,28102.65,22747.09,14238.23,0.0361,0.3179
2021-01-08,39381.77,41946.74,36838.64,40797.61,88107519480,0.0362,35409.52,28943.59,23206.7,14393.98,0.036,0.3413
2021-01-09,40788.64,41436.35,38980.88,40254.55,61984162837,-0.0133,36570.56,29723.81,23639.37,14547.1,0.0359,0.2343
